user,objects,qoe,time
29,Loot_r1_r5_d500,5,2023-03-21-10:32:47+01:00
29,LongDress_r1_r3_d500,4,2023-03-21-10:33:02+01:00
29,Loot_r5_r3_d500,7,2023-03-21-10:33:18+01:00
29,LongDress_r1_r5_d500,4,2023-03-21-10:33:34+01:00
29,LongDress_r3_r1_d500,4,2023-03-21-10:33:45+01:00
29,Soldier_r5_r5_d500,7,2023-03-21-10:34:14+01:00
29,RedAndBlack_r5_r5_d500,6,2023-03-21-10:34:32+01:00
29,Soldier_r3_r3_d500,3,2023-03-21-10:34:50+01:00
29,Soldier_r1_r1_d250,1,2023-03-21-10:35:10+01:00
29,RedAndBlack_r5_r5_d250,4,2023-03-21-10:35:34+01:00
29,Soldier_r1_r1_d125,1,2023-03-21-10:35:48+01:00
29,Soldier_r3_r3_d250,3,2023-03-21-10:36:09+01:00
29,RedAndBlack_r3_r3_d250,2,2023-03-21-10:36:27+01:00
29,Soldier_r1_r1_d500,5,2023-03-21-10:36:45+01:00
29,RedAndBlack_r3_r3_d500,4,2023-03-21-10:37:04+01:00
29,RedAndBlack_r1_r1_d250,2,2023-03-21-10:37:18+01:00
29,Soldier_r3_r3_d125,2,2023-03-21-10:37:30+01:00
29,Soldier_r5_r5_d125,3,2023-03-21-10:37:45+01:00
29,RedAndBlack_r3_r3_d125,2,2023-03-21-10:38:01+01:00
29,RedAndBlack_r1_r1_d500,3,2023-03-21-10:38:26+01:00
29,RedAndBlack_r5_r5_d125,3,2023-03-21-10:38:40+01:00
29,Soldier_r5_r5_d250,4,2023-03-21-10:38:59+01:00
29,RedAndBlack_r1_r1_d125,1,2023-03-21-10:39:16+01:00
30,RedAndBlack_r1_r1_d250,2,2023-03-21-11:03:29+01:00
30,RedAndBlack_r5_r5_d125,3,2023-03-21-11:03:50+01:00
30,RedAndBlack_r3_r3_d500,5,2023-03-21-11:04:07+01:00
30,RedAndBlack_r5_r5_d500,5,2023-03-21-11:04:19+01:00
30,Soldier_r5_r5_d125,3,2023-03-21-11:04:32+01:00
30,Soldier_r5_r5_d250,4,2023-03-21-11:04:48+01:00
30,Soldier_r1_r1_d500,4,2023-03-21-11:05:01+01:00
30,Soldier_r5_r5_d500,6,2023-03-21-11:05:28+01:00
30,Soldier_r1_r1_d250,2,2023-03-21-11:05:49+01:00
30,RedAndBlack_r1_r1_d125,2,2023-03-21-11:06:01+01:00
30,Soldier_r3_r3_d250,5,2023-03-21-11:06:19+01:00
30,RedAndBlack_r3_r3_d250,7,2023-03-21-11:06:44+01:00
30,RedAndBlack_r1_r1_d500,6,2023-03-21-11:07:05+01:00
30,Soldier_r1_r1_d125,2,2023-03-21-11:07:20+01:00
30,RedAndBlack_r5_r5_d250,4,2023-03-21-11:07:36+01:00
30,RedAndBlack_r3_r3_d125,4,2023-03-21-11:07:48+01:00
30,Soldier_r3_r3_d125,5,2023-03-21-11:08:05+01:00
30,Soldier_r3_r3_d500,7,2023-03-21-11:08:21+01:00
30,LongDress_r5_r5_d500,7,2023-03-21-11:08:45+01:00
30,Loot_r3_r3_d500,6,2023-03-21-11:08:58+01:00
30,Loot_r1_r3_d500,4,2023-03-21-11:09:12+01:00
30,Loot_r1_r5_d500,4,2023-03-21-11:09:26+01:00
30,Loot_r5_r3_d500,5,2023-03-21-11:09:38+01:00
30,LongDress_r5_r1_d500,5,2023-03-21-11:09:54+01:00
30,LongDress_r1_r5_d500,3,2023-03-21-11:10:09+01:00
30,LongDress_r5_r3_d500,6,2023-03-21-11:10:25+01:00
30,Loot_r3_r5_d500,7,2023-03-21-11:10:44+01:00
30,Loot_r5_r5_d500,7,2023-03-21-11:10:56+01:00
30,Loot_r1_r1_d500,4,2023-03-21-11:11:10+01:00
30,LongDress_r3_r5_d500,5,2023-03-21-11:11:27+01:00
30,LongDress_r3_r3_d500,4,2023-03-21-11:11:42+01:00
30,LongDress_r1_r1_d500,2,2023-03-21-11:12:01+01:00
